id,Class title,Class description,Image,Type,Intensity,Online available,Physical available,Benefits,Demo video,Equipments,Tag,Updated,Created
SFF0021,Plyometrics,"A form of exercise that involves exerting maximum force in short time intervals using jumping or explosive movements. Some examples include jump ropes, lunges, and jump squats.",https://drive.google.com/file/d/1LISF6Fcp_r25g4ZAHi-6o6YYrl5DV3if/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/Dl0wDfIptV4,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0022,Pound,"A full-body workout that combines cardio, conditioning, and strength training with yoga and Pilates-inspired movements. Using lightly weighted drumsticks, transforms drumming into an effective way of working out.",https://drive.google.com/file/d/1woFBO2WK1vkn0cuJJ92o3eiD1Iom1-cK/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Cardiovascular,https://youtu.be/fgU-3zv1GiA,Pound Sticks,Classic, 08 Apr 2022,08 Apr 2022
SFF0023,Salsation,"A Latin-based dance workout with a strong focus on musicality and lyrical expression. It converts functional training protocols into innovative dance moves which are controlled and grounded, making it fun and sage at the same time.",https://drive.google.com/file/d/12Qun9iM6AtnGcOHlBSRsovNdqpI_MNmN/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Cardiovascular,https://youtu.be/HIby_wYhY80,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0024,Street Jazz,"Developed in response to the emergence of commercial pop music, it features sharp movements, and body isolations and focuses on precision and confidence.",https://drive.google.com/file/d/1GsEi9ooFLJSQEOhqTeE-T2KpLSurC8yI/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Body Awareness,https://youtu.be/KkoRNMySSmo,Not required,Classic, 13 Aug 2022,08 Apr 2022
SFF0025,STRONG Nation,STRONG Nation combines high-intensity interval training with the science of Synced Music Motivation. Imagine doing burpees at the beat of the music!,https://drive.google.com/file/d/1ZNIUy3jXmxB5bMtxoRz-CwLmeFlf91VW/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Muscular Endurance,https://drive.google.com/file/d/1Od1bj5wr27uwleIvwSNSg8Mks6qFt1ol/view?usp=sharing,Yoga Mat,Classic, 08 Apr 2022,08 Apr 2022
SFF0026,TaiChi,"A series of gentle physical exercises and stretches. Each posture flows into the next without pause, ensuring that your body is in constant motion. Tai Chi promotes serenity through gentle movements — connecting the mind and body.",https://drive.google.com/file/d/1qHf7xn-qLUL6opZt7v3fB77V3TxdTIUK/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://drive.google.com/file/d/16ORLgrsXfeqnebVxRoiBYrLYdGrbWonQ/view?usp=sharing,Not required,Recomendation, 08 Apr 2022,08 Apr 2022
SFF0027,Yoga,"Yoga is a form of physical exercise to promote improved control of mind and body, exercise focussing on strength, flexibility, and breathing to boost physical and mental well-being.",https://drive.google.com/file/d/1gwQfGW7Xdq7fxrp61QKvZPzaPJZp2eKw/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Flexibility,https://drive.google.com/file/d/1gCGAz9LTJOzL59TfJu92pjaZfVcquWqy/view?usp=sharing,Yoga Mat,Recomendation, 13 Aug 2022,08 Apr 2022
SFF0028,Zumba Fitness,"Incorporating techniques from Latin dance styles alongside energetic soundtracks, Zumba is an aerobic workout that improves coordination and endurance. The intensity of the workout differs, depending on the type of class.",https://drive.google.com/file/d/1NjTP_sXxotROVEagj6SUIe8vCYmQEvo5/view?usp=sharing,Group Exercise Classes,Mid,Yes,Yes,Cardiovascular,https://youtu.be/fz0AossTXaM,Not required,Classic, 20 Apr 2022,08 Apr 2022
SFF0029,Zumba Gold,Modified Zumba class for active older individuals who want to reproduce their favorite moves at a lower intensity.,https://drive.google.com/file/d/17toMKdcUcUym_Vg0ioYo3F49Zg71hv-s/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Cardiovascular,https://youtu.be/3HUcIwEb0vs,Not required,Classic, 20 Apr 2022, 20 Apr 2022
SFF0030,Zumba Aqua,"A pool party that incorporates the South American Zumba beat and dance steps. It's a water-based, body-toning workout that's both enjoyable and tough.",https://drive.google.com/file/d/1ys_9-30LRdXahGJYJJVpVfCQWk4c2mK2/view?usp=sharing,Group Exercise Classes,Mid,No,Yes,Cardiovascular,https://youtu.be/_bkbLbt08Bk,Conducted in swimming pool,Classic, 20 Apr 2022, 20 Apr 2022
SFF0031,Zumba Kids,"A high-energy dance party packed with kid-friendly routines where kids learn to move, listen to the rhythm, exercise their bodies, and improve their health while listening to their favorite music.",https://drive.google.com/file/d/1lRpCCDbhp3mC9U1ylkjcNKMVJjPtcSRF/view?usp=sharing,Group Exercise Classes,High,Yes,Yes,Cardiovascular,https://youtu.be/ymigWt5TOV8,Not required,Classic, 20 Apr 2022, 20 Apr 2022
SFF0032,Breathing Meditation,"Relief stress and calm the nervous system through deep breathing techniques - let go of tensions on the physical, mental and emotional level",https://drive.google.com/file/d/1x8fSkGTUfd2fKXEfLAJF_uRXCmW_t_zv/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://youtu.be/fzevJRpLMrQ,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0033,Drum Meditation,Keep the chaos away! Bring the mind to a place of stillness and “Drop in” to the calming beats of the drum to improve focus and concentration.,https://drive.google.com/file/d/1CqC9DDN2LC8qs1i8wThE7MnlxGkiJ-ul/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://youtu.be/dHaV17G2lEE,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0034,Sound Meditation,"Immerse in beautiful sounds and vibrations that are healing for your body and mind. The sounds and vibrations affect the body at a cellular level since every organ and every cell in the body vibrates at a particular frequency. Deemed as the medicine of the future, the waves of sound in this class will trigger a relaxation response, leaving you feeling rested and relaxed.",https://drive.google.com/file/d/1Y5KzK9CIiflKCwcQ-caC-m8bQIPyg10v/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://youtu.be/oCPoG3EGwVw,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0035,Mindfulness Meditation,"In this session, we will look at how the practice of mindfulness can help bring calm and stability to our daily lives. We will be covering 3 positions - mindful eating, mindful walking, and mindful sitting. One should feel a sense of calmness and relaxedness after the session.",https://drive.google.com/file/d/1w295_kKa6hCb2VjofpHZnK_9GDdejgKZ/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,"https://drive.google.com/file/d/1vBCj-__6e7uUV0sD2bw_-dXTduTOZg5b/view?usp=sharing

(then here is another option) https://youtu.be/DFEnruF-dts",Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0036,Loving-Kindness Meditation,"Most of our ill feelings arise because of closing ourselves off from others. The practice of loving-kindness helps to release tense and negative emotions, inviting positive heartwarming emotions for ourselves and the people around us. With a more open heart, we can navigate the world with more ease and less friction. Loving-kindness meditation can be an antidote if we constantly feel in conflict with others.",https://drive.google.com/file/d/14jI08zqtS2YhpU0VMf1PXqYR8EhznddF/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://youtu.be/e-TeW9CI0bc,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0037,Stress Management Meditation,"Being able to cope with stress is an important skill in the world today. In a stress management meditation session, one learns how to be comfortable with unpleasant feelings that arise daily. 2 positions will be explored in this session, namely standing and sitting. Regular practice of stress management meditation helps to build mental resilience.",https://drive.google.com/file/d/1MX2UJEyiIdI3RUcff88WVnrnZEYT4I5I/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://youtu.be/z6X5oEIg6Ak,Not required,Classic, 08 Apr 2022,08 Apr 2022
SFF0038,QiGong Meditation,Qi Gong meditation is a more dynamic form of meditation wherein participants are mostly standing and moving. Qi Gong meditation helps to release tension buildup in the body and at the same time provides mental relief. Regular practice of Qi Gong meditation helps to build a strong body to handle the daily rigors of life.,https://drive.google.com/file/d/1cYjXfU1sErbWGu0K3kKIWggOgA6qwUXB/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Mindfulness,https://drive.google.com/file/d/1W2Jg5EumniYNDowg3-fRspxBuN2SsyPS/view?usp=sharing,Not required,Recomendation, 08 Apr 2022,08 Apr 2022
SFF0039,Resistance Band Workout,"Resistance band training is one of the most cost-effective ways to work
on strength training, anytime, anywhere. Paired up with up-beat music,
the class can be full of energy, burning muscles, and fun! This class is
suitable for all ages and fitness levels as the band’s tightness can be
modified according to its length and thickness.
*Participants are required to own a set of resistance bands",https://youtu.be/fz0AossTXaM,Group Exercise Classes,High,Yes,Yes,Muscular Strength,https://drive.google.com/file/d/1YVw9f7XKdLYc-eouXfPuTqM2LKkb5sxY/view?usp=sharing,Resistance band,Special, 08 Apr 2022,08 Apr 2022
SFF0040,Release & Stretch,"Applicable in the comfort of the offi ce or your own home, learn how to release tight muscle knots wherever you are with a massage ball, paired with stretching on a chair or standing at the desk to release tension in the whole body. Partner stretches can also be done between colleagues or family members as well to get a deeper stretch in.",https://drive.google.com/file/d/1xi8wtqbGDHm9p1e3LQJ8_KSXf8Y1nT56/view?usp=sharing,Group Exercise Classes,Low,Yes,Yes,Flexibility,https://drive.google.com/file/d/1ZKPtZG0t8MuYwa1QH-fudmr8zPK0WTUn/view?usp=sharing,Massage Ball,Special, 08 Apr 2022,08 Apr 2022
SFF0041,Food as Fuel to Optimise Your Workout,"Your body needs the right fuel for you to perform at your best, and that’s where good nutritional strategies come into play to complement
your own fi tness plans. This talk provides an overview of sport nutrition, the relationship between food and humans, and what food does to the body at rest and
during exercise. It also discusses how different nutritional components are stored in the body and their functions during physical activities.",https://drive.google.com/file/d/15fElt8jsdhMXyN4TYLC08l6Bb7UzGcSA/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Revamped,24 May 2022,23 May 2022
SFF0042,How’s Your Gut Feeling?,"Abdominal pains, bloatedness, and bowel irregularities are common symptoms of poor gut health and surprisingly, early signs of diseases like eczema, colon cancer, or even anxiety. In this talk, we’ll discuss how food affects our gut, common imbalances that could arise, ways to relieve them, and practical tips to strengthen our gut health.",https://drive.google.com/file/d/1b34ohFASD276w-HbjEvlY3Qpz5_oWsrF/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Recommended,24 May 2022,23 May 2022
SFF0043,Food for Productivity: No more Food Comas,"Food coma (aka after-meal sleepiness) is a leading cause of unproductiveness, especially after lunch hours. Learn how to choose the right foods throughout the day to prevent food comas, improve mental alertness, and increase energy levels for better productivity at work.",https://drive.google.com/file/d/1x2sMRnVtBm33BX3I2VcDN8Tmo68Y9z2A/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Classic,24 May 2022,23 May 2022
SFF0044,Good Food = Good Mood,"Ever wonder why you’re usually in a good mood after eating?
According to the latest scientifi c studies, the phrase “you are what you
eat” speaks to both our physical and emotional health. In this talk, we’ll
show you how the food we eat affects our bodies and minds, what
foods might cause dips and peaks in our mood, and tips to E.A.R.N. your
health and enhance your mood.",https://drive.google.com/file/d/1AORkTkm48bnAs7-rmfYk5H0jIcaQ3VBw/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,https://drive.google.com/file/d/1_rR_wfy55DvA4rfdqvOPrlj7OWjRXewp/view?usp=sharing,Not required,Recommended,24 May 2022,23 May 2022
SFF0045,Healthy Snacking 101,"Is snacking good or bad for you? In this talk, we’ll show you the pros and cons of snacking, help you differentiate good and bad snacking
habits, and provide some easy tips to choose snacks that are good for your health, especially when you’re on a weight management journey.",https://drive.google.com/file/d/14axOX-m23u--LUMqP23cmtFagkjKFBpd/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Classic,24 May 2022,23 May 2022
SFF0046,"The Silent Killers: Obesity, Diabetes, Stroke","In recent years, more people are getting diagnosed with lifestyle diseases that became so severe, sudden death is a possible risk they
have to live with. In this talk, we’ll raise your awareness of the risk factors that can lead to lifestyle diseases, offer some key nutritional tips
to help you watch what you eat, and guard you against lifestyle habits that may just kill you silently.",https://drive.google.com/file/d/1nWUc-ixBZIXemQTUiOxwFLhgEV7Gmz4B/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Revamped,24 May 2022,23 May 2022
SFF0047,Men vs Women: Nutritional Needs,"How are men and women built differently? How does that affect our nutritional needs? In this talk, we’ll show you the differences in our
body systems and what it means for our eating and weight regulation behaviours. You’ll also learn some basic food nutrition for your unique
body, so you can make better food and lifestyle choices in the long term.",https://drive.google.com/file/d/1XwKsoIrMYCM4SAapVXzmCRFcSxpe4Yci/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,New,24 May 2022,23 May 2022
SFF0048,Nutrition for Women: Gut Health and Female Hormone,"There are some nutritional needs unique to females, and catering to them can mean the difference to the way you work, live, and play. In
this talk, we’ll offer some insight into the connection between gut health and female hormones, while offering some top tips to nourish the female body in the best ways.",https://drive.google.com/file/d/1Tp0pqmW6Lc5kjhMmLCgpGlof7Ctngejd/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,https://drive.google.com/file/d/1K49gkW8rzxAYAN_CbMv_7nDSRAqSE_3f/view?usp=sharing,Not required,New,24 May 2022,23 May 2022
SFF0049,Nutrition for Graceful Ageing,"We can’t stop our bodies from ageing but we defi nitely can adjust our diets to stay strong and healthy. In this talk, you’ll discover how ageing
affects our overall health and learn to make the right food choices in support of graceful ageing.",https://drive.google.com/file/d/1m1THnxfoPd-k9n759B4ZfM2tDOoabj3n/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,New,24 May 2022,23 May 2022
SFF0050,Nutrition for your Immune System,"A well-functioning immune system is the foundation of good health that protects us against disease and infections. In this talk, you discover
the role of nutrition in building and maintaining a healthy immune system as we discuss the myths and facts around ‘Immunity-boosting
supplements’. You’ll also get to pick up some tips on choosing the right kind of food to keep illnesses at bay.",https://drive.google.com/file/d/1c9cxRh7LpRLWoXHlDgYoTQaivTZX6Rcu/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,New,24 May 2022,23 May 2022
SFF0051,Weight Loss 101,"With so much confl icting information about diet plans out there, it’s hard knowing what will work in your case. In this talk, we’ll break down
the root causes of obesity and its consequences, so you can get familiar with what you’re really dealing with. You’ll also be provided with
actionable tips to achieve and maintain your ideal, healthy weight though food and lifestyle changes.",https://drive.google.com/file/d/1wlz28zQKQjAE0KAsIHhI1FKKq0JFWtBH/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Classic,24 May 2022,23 May 2022
SFF0052,"Eat Out, Eat Well","Eating out is also about discovering what’s out there to enjoy or to spend quality time with others, but that doesn’t mean your health
needs to take a back seat. In this talk, we’ll help you understand the importance of eating well, show you its benefits to our wellbeing, and
offer some practical steps to stay healthy even when eating out.",https://drive.google.com/file/d/1Vi29RPjQlPUUPf5j1FuaQasAIocWg-V5/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Recommended,24 May 2022,23 May 2022
SFF0053,The Truth About Fad Diets,"Tempted by a ‘quick fi x’ or ‘miracle’ weight loss? It’s probably too good to be true! Fad diets gained popularity by offering short-term weight
loss fast, but results with such minimal effort are often unrealistic and unsustainable. In this talk, we’ll cover why various fad diets seem
effective but may be unsustainable, so you can decide if they’re really worth it.",https://drive.google.com/file/d/1lgT2ta45mkInWQ5B16lcf5oi40cSB_0P/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Classic,24 May 2022,23 May 2022
SFF0054,Secrets To Effective Meal Prep,"Prepare your meals in a more effective and effi cient manner while taking control of your nutrition through meal-prepping. In this talk, you’ll
discover the health tradeoffs you’re making when ordering takeouts, how easy having a homecooked, nutritious meal after work can really be, and
the various secrets to save time without losing out on taste while improving your food’s shelf life.",https://drive.google.com/file/d/1u1VsogfL_gRX0fsskeA_Kns7sOnfyoEm/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,,Not required,Classic,24 May 2022,23 May 2022
SFF0055,Cooking Demo (Hands-on),"Learn to whip up yummy and healthy dishes from our nutritionist/dietician, all from the comfort of your home kitchen! We’ll
show you how to enhance your food with natural ingredients and pick healthier alternatives for common local recipes.
All you’ll need is your kitchen equipment and stove, fresh ingredients (we’ll share an ingredients list 2 weeks before the demo) and to follow
along on the day itself! Vegan and vegetarian options are available upon request.",https://drive.google.com/file/d/1vOR6c-6vpg2fB3LPftu5YIfftmzxbK5F/view?usp=sharing,Nutrition Talk,N/A,Yes,Yes,Nutrition awareness,https://drive.google.com/file/d/13UCB6MN3qNIXKVkE55GfyTjMAV_-P4Tt/view?usp=sharing,Ingredients,Special,24 May 2022,24 May 2022
SFF0056,Restart To Win: Getting back to work effectively,"The COVID-19 health pandemic has resulted in numerous disruptions to our lives and the way we work. While governments and health agencies are learning how to cope and manage effectively, companies are eager to restart to ensure survivability of their respective businesses.",https://drive.google.com/file/d/10kLNfV6knD7a75CE_rcnekqoD-8hdwn1/view?usp=sharing,Mental Wellbeing Talk,N/A,Yes,Yes,Mental well being,https://drive.google.com/file/d/1keyBBHW9EZAmvUibI3DD0A6NNp9pdCTo/view?usp=sharing,Not required,Classic,01 June 2022,01 June 2022
SFF0057,Resilience: Managing Change with Optimism,"We live in a fast-paced and demanding society. Surmounting pressures from work demands can leave many people in Singapore with stress-related problems. Mental health is now a great concern, especially with about 1 in 10 adults suffering from mental illnesses in Singapore.
While it is impossible not to experience stress, early intervention and better-coping skills can signifi cantly reduce stress and mental health issues.",https://drive.google.com/file/d/1uOx4dA4vnNKZthFGR_7QAXaagAqBeid0/view?usp=sharing,Mental Wellbeing Talk,N/A,Yes,Yes,Mental well being,https://drive.google.com/file/d/17nQzs0qZ5DDbM_8yQuCPOEbsUrKOTrHX/view?usp=sharing,Not required,Classic,02 June 2022,02 June 2022
SFF0058,Boosting Psychological Immunity Amidst Uncertainties,"situations, and it is inevitable that we may react with anxiety to some of them. However, it is important to  differentiate ordinary anxiety from anxiety disorders.
During the recent COVID-19 outbreak, we have observed social phenomena such as hoarding, distancing, and even discrimination against each other. This workshop focuses on how people respond to stressful changes as well as effective strategies we can use to overcome anxiety and manage change in our lives.",https://drive.google.com/file/d/14bAlRJxtMu6lqe3eXPoE4auK7OmIqltu/view?usp=sharing,Mental Wellbeing Talk,N/A,Yes,Yes,Mental well being,https://drive.google.com/file/d/1ZLfiwebc2zEJK5zcVBSYl6DYUizgpB-q/view?usp=sharing,Not required,Classic,03 June 2022,03 June 2022
